npk,sub_post,post,grp,sect,dept,dept_account,division,plant
72793,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72794,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72795,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
72796,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72797,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72798,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
72799,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72800,NULL,NULL,1-001-002-007-039,1-001-002-007,1-001-002,1-001-002,1-001,1
72801,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
72802,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
72803,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
72804,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72805,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
72806,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
72807,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
72808,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72809,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72810,NULL,NULL,1-001-002-008-046,1-001-002-008,1-001-002,1-001-002,1-001,1
72811,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
72812,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
72813,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
72814,NULL,NULL,1-001-002-007-039,1-001-002-007,1-001-002,1-001-002,1-001,1
72815,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
72816,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72817,NULL,NULL,1-001-002-008-046,1-001-002-008,1-001-002,1-001-002,1-001,1
72818,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72819,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
72820,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72821,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
72822,NULL,NULL,1-001-002-008-046,1-001-002-008,1-001-002,1-001-002,1-001,1
72823,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72824,NULL,NULL,1-001-002-008-042,1-001-002-008,1-001-002,1-001-002,1-001,1
72825,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
72826,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
72827,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72828,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72829,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72830,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
73026,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
73027,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
73028,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
73029,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
73030,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
73031,NULL,NULL,1-001-002-003-015,1-001-002-003,1-001-002,1-001-001,1-001,1
73032,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
73034,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
73035,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
73036,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
73037,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
73038,NULL,NULL,1-001-002-004-018,1-001-002-004,1-001-002,1-001-001,1-001,1
73039,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
73040,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
73041,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
73042,NULL,NULL,1-001-002-004-019,1-001-002-004,1-001-002,1-001-001,1-001,1
73043,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
73044,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
73045,NULL,NULL,1-001-002-007-039,1-001-002-007,1-001-002,1-001-002,1-001,1
73046,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
73047,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
73048,NULL,NULL,1-001-002-008-042,1-001-002-008,1-001-002,1-001-002,1-001,1
73049,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
73050,NULL,NULL,1-001-002-008-046,1-001-002-008,1-001-002,1-001-002,1-001,1
73051,NULL,NULL,1-001-002-008-042,1-001-002-008,1-001-002,1-001-002,1-001,1
73222,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
73398,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
73399,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
73400,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
